video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_100_part_1,108,191.36039300287996,0.07476635514018691,ok
Subj_100_part_10,144,179.08576696021086,0.04195804195804196,ok
Subj_100_part_100,90,37.37793688154258,0.0,ok
Subj_100_part_101,136,135.83624737373728,0.05185185185185185,ok
Subj_100_part_102,148,82.18569551529524,0.0,ok
Subj_100_part_103,81,675.6341267567544,0.2625,ok
Subj_100_part_104,156,797.4445887931247,0.25161290322580643,ok
Subj_100_part_105,142,843.9412055540843,0.3900709219858156,ok
Subj_100_part_106,133,384.3135736628798,0.11363636363636363,ok
Subj_100_part_107,140,130.26045830525464,0.0,ok
Subj_100_part_108,102,140.8968665561764,0.06930693069306931,ok
Subj_100_part_109,138,77.11868811308861,0.0,ok
Subj_100_part_11,132,317.4806375680629,0.10687022900763359,ok
Subj_100_part_110,140,358.32912847226163,0.08633093525179857,ok
Subj_100_part_111,144,99.63125405503536,0.0,ok
Subj_100_part_112,149,387.5774693961839,0.0945945945945946,ok
Subj_100_part_113,122,618.5802064646714,0.4628099173553719,ok
Subj_100_part_114,92,310.88803947087547,0.24175824175824176,ok
Subj_100_part_115,143,113.70160156668283,0.028169014084507043,ok
Subj_100_part_116,156,648.4291295488845,0.36129032258064514,ok
Subj_100_part_117,134,295.830438502371,0.07518796992481203,ok
Subj_100_part_118,156,667.2152154447915,0.3741935483870968,ok
Subj_100_part_119,144,552.0649418814166,0.34265734265734266,ok
Subj_100_part_12,131,268.11491331110057,0.046153846153846156,ok
Subj_100_part_120,155,106.78169594776192,0.006493506493506494,ok
Subj_100_part_121,82,404.16851812468525,0.4691358024691358,ok
Subj_100_part_13,135,214.7387440957451,0.08955223880597014,ok
Subj_100_part_14,126,377.0372565212482,0.248,ok
Subj_100_part_15,96,316.98849858312235,0.11578947368421053,ok
Subj_100_part_16,122,324.88424687793724,0.18181818181818182,ok
Subj_100_part_17,155,383.1820831094028,0.12337662337662338,ok
Subj_100_part_18,138,75.87697955920962,0.0,ok
Subj_100_part_19,156,1055.4518956048864,0.25806451612903225,ok
Subj_100_part_2,143,108.25893138182559,0.0,ok
Subj_100_part_20,122,344.5163540192931,0.024793388429752067,ok
Subj_100_part_21,140,208.76532664406375,0.03597122302158273,ok
Subj_100_part_22,142,483.60722388864514,0.2695035460992908,ok
Subj_100_part_23,156,330.3865559309511,0.12258064516129032,ok
Subj_100_part_24,144,337.6960848515163,0.11888111888111888,ok
Subj_100_part_25,156,162.7923412911455,0.04516129032258064,ok
Subj_100_part_26,126,275.52736057365047,0.04,ok
Subj_100_part_27,153,432.1936020512611,0.03289473684210526,ok
Subj_100_part_28,144,48.43174248773465,0.0,ok
Subj_100_part_29,156,69.93315343607527,0.012903225806451613,ok
